Task name,Date,Tags,Repo/PR,Notes
dynamic docs building based on format of folder structure,"September 30, 2024","Docs, ICF",https://github.com/interchainio/dev-portal-docsite/pull/4,was working to x/ docs and kind of needed this. useful config setup
docs(tutorial): cosmwasm contract + module,"September 30, 2024","CosmWasm, Docs, Spawn",https://github.com/rollchains/spawn/pull/224,
"finalize docs(tutorials): cw nfts, tokenfactory, spawn overview","September 30, 2024","Docs, Spawn",https://github.com/rollchains/spawn/pull/223,"tested on macos as well, all works as expected for CW + tokenfactory"
devex + docs,"September 30, 2024","Docs, ICF",,
"docs(tutorials): cw nfts, tokenfactory, spawn overview","September 29, 2024","Docs, Spawn",https://github.com/rollchains/spawn/pull/223,
Putting together clients target outreach sheet w/ automation,"September 28, 2024","Scripts, bizdev",,
"wip: feat: add cometbft docs ","September 27, 2024","Docs, ICF, cometbft",https://github.com/interchainio/dev-portal-docsite/pull/3,"MIgrates over to docusaurus on our side, allowing their native impl to continue to work without change"
,,,,
review alex aadao prop,"September 27, 2024",Review,,
ICT PR reviews w/ andrew,"September 27, 2024","Meeting, Review, interchain-test",,
10planet,"September 27, 2024",Meeting,,
A little styling for base demo with aggregated docs and stack components,"September 26, 2024","Docs, ICF, WebApp",,
"Review: feat: app routing, mocked auth, styles and layout. v0 product flows","September 26, 2024","Review, Spawn, WebApp",https://github.com/rollchains/spawn-ui/pull/3,
feat(local-ic): stream logs,"September 26, 2024",local-interchain,https://github.com/strangelove-ventures/interchaintest/pull/1269,
Golang Stream Logs Example,"September 26, 2024","Spawn, WebApp",https://github.com/Reecepbcups/golang_stream,needed for spawn webapp. Getting into local-ic
"Docs site: cleanup of sync scripts (function approach, reduce copmplexity)","September 26, 2024","Docs, ICF",,
Docs site: Cosmos-SDK support,"September 25, 2024","CosmosSDK, Docs, ICF",,"working impl with versions and fixing local reference copies. Ideally we can reduce these into just the SDK directory vs having 2 dirs to pull from "
review: thorchain v50 interchaintest support,"September 25, 2024",interchain-test,https://github.com/strangelove-ventures/interchaintest/pull/1267,
Spawn UI,"September 25, 2024",Meeting,,
ICF docs site POC with Spawn & IBC,"September 25, 2024","Docs, ICF",,also includes the bash sync
docusausur w/ Docs group,"September 25, 2024",Meeting,,
base docs with Spawn & another example up,"September 24, 2024","Docs, ICF",,"using spawn since I know it is good. Versioning added to the demo, but its static. Need to see how to do different drop down navs per unique instance (So IBC gets v8, v7) and SDK gets v47, v50"
working on ICF docs versioning,"September 24, 2024","Docs, ICF",,brief exchange with Julien as well for what the SDK needs. Seems like what I am building but a sub compoent of the parent architecture.
allocations,"September 24, 2024",Meeting,,
devrel ollie,"September 24, 2024",Meeting,,
Starting on draft 1 of Spawn Interchain Intro workshop for Duabi,"September 23, 2024",presentation,,
Porting brussles Spawn presentation → cosmoverse dubai 2024,"September 23, 2024",presentation,,
refactor: really remove globalfee,"September 23, 2024",Spawn,https://github.com/rollchains/spawn/pull/219,
DevEx,"September 23, 2024",Meeting,,
attempting to get grpc support for Txs with the native CLI,"September 21, 2024","CosmosSDK, Gordian",https://github.com/rollchains/gordian/compare/6139655373401d13094859f1d57bd3887fcbedae...502cf41b181ab75295cd66e8f43c3272d0ea8384,"Added —grpc-addr to CLI Tx, adding a new way to broadcast a command to the consensus gRPC server from the application. Currently it is still way to tied to the cometbft server

Failure to do this would result in no CLI usage being possible without manually generating the tx bytes, singing, and broadcasting raw. not ideal."
feat: alternate consensus engine support,"September 20, 2024",interchain-test,https://github.com/strangelove-ventures/interchaintest/pull/1265,CometBFT and Gordian along side one another with smart consensus selection on startup.
release: v8.7.1,"September 20, 2024",interchain-test,https://github.com/strangelove-ventures/interchaintest/releases/tag/v8.7.1,
prysm network,"September 19, 2024",,https://github.com/LightLABS-Dev/prysm/,
continued work on IBC-Go v9 (sdk v52),,,https://github.com/cosmos/ibc-go/pull/7298,working on dependency issues for different modules ugh
hub dev upadtes,"September 18, 2024","CosmosHub, Meeting",,
refactor: speed up internal testing,"September 18, 2024",interchain-test,https://github.com/strangelove-ventures/interchaintest/pull/1263,
review:fix(query): StakingQueryDelegationsTo reusing the same object,"September 18, 2024","Review, interchain-test",https://github.com/strangelove-ventures/interchaintest/pull/1262,
Thorchain upgrade meet re: v50,"September 17, 2024",Meeting,,
