Task name,Date,Tags,Repo/PR,Notes
"Register staking & gov Txs + queries, simplify, add e2e test template, script, example contract, and more checks","September 30, 2023",Juno,https://github.com/CosmosContracts/juno/compare/1b46f63823a3f2048fde2d7773ac2211f11fc2ff...42d829624e0787b4f45c00a1a5a4b1e565c82278,"working now, just needs a full test suite and cleanup"
"Moved to workspace, fix start flags, abstract away required flags (ex: —node=%RPC%), remove old panics and cleanup loose ends, add setup docs & example, remove old server.json config for CLI only start args","September 28, 2023","StrangeLove, local-interchain","https://github.com/strangelove-ventures/interchaintest/pull/785/commits/824489a4d445bad75aa57ad16548374b31381a65

https://github.com/strangelove-ventures/interchaintest/compare/51b4db5796360c38e8b7007fcc828d0c8078aa40...8f9b2c1335a522d63dd23b2452fcc22964844e59",
get legacy PFM repo ready for archive. Only add issues for PFM & ICQ to motherboard from IBC-Apps,"September 26, 2023","IBC-Apps, PFM",https://github.com/cosmos/ibc-apps/pull/104/files,upstreamed issues & the last PR up (with coauthor set)
Upstream TokenFactory helper functions from Juno,"September 26, 2023","StrangeLove, interchain-test",https://github.com/strangelove-ventures/interchaintest/compare/1f7bbd5e73d5d8e6d7710cb1b954fd42059b137c...6c2d2202e18ad63fd06cbafdf7cd9df3c8659a30,"Matches osmosis spec, useful to remove the helpers from the Juno side."
"[rust driver] Productive Lints, Better Errors, Add status_code TxResp, doc comments, ","September 25, 2023","StrangeLove, local-interchain",https://github.com/strangelove-ventures/interchaintest/compare/ec38a6b4097bd052b792429c05dcb5b318e0cef0...d152dc188c555160b2ed0586c74e583f0598e7cc,
code of conduct & contributing,"September 25, 2023","StrangeLove, interchain-test",https://github.com/strangelove-ventures/interchaintest/pull/797,
[rust driver] expanding CW ease of use + relaying & test,"September 24, 2023","StrangeLove, interchain-test, local-interchain",https://github.com/strangelove-ventures/interchaintest/compare/a5f5eef5b0d99e74fac98186922d41743d4f8106...ec38a6b4097bd052b792429c05dcb5b318e0cef0,
[rust driver] Added relayer support,"September 24, 2023","StrangeLove, interchain-test, local-interchain",https://github.com/strangelove-ventures/interchaintest/pull/785/commits/718f10993bc941c1853a7656a8b7275b95e0c288,
sparkibc contract review,"September 23, 2023",Juno,private repo,
"Finished x/burn ","September 23, 2023",Juno,https://github.com/CosmosContracts/juno/pull/801,
reviewed Justin’s penumbra ictest PR,"September 21, 2023","Review, StrangeLove",https://github.com/strangelove-ventures/interchaintest/pull/480,
refactor burn contract & write e2e test for it,"September 21, 2023",Juno,"https://github.com/dimiandre/cw-testburn/pull/1/files & 

https://github.com/CosmosContracts/juno/compare/c08d04d715eaf0a5e137e892fca72a425ef86f9f...5b38d672a0e0df698b882e82c9d3d4a423189612",
