Task name,Date,Tags,Status,Repo/PR,Notes
ictest: Added ParamChangeProposal & queries,"March 30, 2023","StrangeLove, Testing",Done,Needed to write e2e for GlobalFee & IBC unbonding periods.,https://github.com/strangelove-ventures/interchaintest/pull/467
POC: Use gas compute instead of denom if cost 0,"March 28, 2023",,Done,https://github.com/CosmosContracts/token-factory/pull/14,https://commonwealth.im/juno/discussion/10596-parameter-change-reduce-denom_creation_fee-to-zero
Removed all past stale/empty branches,"March 27, 2023",,Done,,
"[v14] Tagged alpha.1, uni-6 instructions, proposal desc","March 27, 2023",Juno,Done,https://github.com/CosmosContracts/testnets/blob/main/uni-6/03_V14_BETA_UPGRADE.md,Also working on Juno network release guide from start to finish → https://hackmd.io/@reecepbcups/HkxdIz0xh
[v15] TokenFactory - Disable Send,"March 26, 2023",Juno,Done,https://github.com/CosmosContracts/token-factory/pull/12,
Metting with Bao (tailwind),"March 22, 2023",Meeting,Done,,"22m - resources for CW, juno docs, my background, best way to develop on Juno - future plans"
v14 TF: patched sending funds to blocked accounts,"March 22, 2023",Juno,Done,https://github.com/CosmosContracts/token-factory/pull/10,
v14 TF: Adds new bindings to our TF fork,"March 22, 2023",Juno,Done,https://github.com/CosmosContracts/token-factory/pull/11,Put in my Juno TF PR: https://github.com/CosmosContracts/juno/pull/615
v14 juno-ts: GlobalFee + new TokenFactory proto,"March 22, 2023",Juno,Blocked,https://github.com/CosmosContracts/juno-ts/pull/9,Waiting for v14 mainnet to merge
TokenFactory force transfer wasm bindings,"March 22, 2023","CosmWasm, Juno",Done,https://github.com/CosmosContracts/token-bindings/pull/1,
[v14] Adds updated tokenfactory + tested,"March 21, 2023",Juno,Done,https://github.com/CosmosContracts/juno/pull/615,
"ci: optimize CI depending on updated files ","March 21, 2023",,Done,https://github.com/CosmosContracts/juno/pull/614,
[v14] wasmd 31 & wasmvm 1.2.1,"March 21, 2023",Juno,Done,https://github.com/CosmosContracts/juno/pull/613,
Update Roadmap (v14+),"March 21, 2023",Writing,Done,https://github.com/CosmosContracts/juno/pull/612,
Fix docker tags (v13.0.1) & v14,"March 20, 2023",CI,Done,https://github.com/CosmosContracts/juno/pull/609,
Juno Hackathon (Block) Farm Template/Example,"March 20, 2023",CosmWasm,Done,https://github.com/Reecepbcups/juno-hackathon-farm-example,
"Juno TokenFactory - burnFrom, mintTo, & ForceTransfer","March 19, 2023",Juno,Done,https://github.com/CosmosContracts/token-factory/pull/9,v14
"[v14] add GlobalFee, IBCHooks, Speed up CI 600%+ (40m → 6.5m)","March 19, 2023","Juno, Testing",Done,https://github.com/CosmosContracts/juno/pull/597,MASSIVEEEE
Increase max wasm file size for testing,"March 18, 2023",Juno,Done,https://github.com/CosmosContracts/juno/pull/600,
Drastically speed up heighliner CI docker speeds,"March 18, 2023","StrangeLove, Testing",Done,https://github.com/strangelove-ventures/heighliner/pull/107,"Caches strangeloves heighliner to add and compile at the end, rather than the begining. Juno cache times take 30+ minutes withhout this."
cli: force set gas & other Tx flags through client.toml vars,"March 18, 2023",Juno,Done,https://github.com/CosmosContracts/juno/pull/601,
redid http://juno.reece.sh - added simple dev & user migrations,"March 17, 2023",WebApp,Done,,design overhaul as well
launched TokenFactory & FeeShare UI + added Send Token Support,"March 16, 2023",WebApp,Done,https://juno.reece.sh/,
Adds tokenfactory create & mint to website,"March 15, 2023",WebApp,Done,https://github.com/Reecepbcups/juno-chain-webapp,
Juno FeeShare UI webapp,"March 15, 2023",WebApp,Done,https://github.com/Reecepbcups/juno-chain-webapp,Register / update contracts easily from UI. Future: Add easy tokenfactory as well
"Remove Oracle, Inter-tx - adds Interchain Test","March 14, 2023",Juno,Done,https://github.com/CosmosContracts/juno/pull/591,ictest from Justin @ strangelove. Gets base ready for v14 in another PR
Documentation Working Group (discord),"March 14, 2023",Docs,Recurring,,
Removed 1000+ duplicate images in docs,"March 14, 2023",Docs,Done,https://github.com/CosmosContracts/docs/pull/80,
FeeShare & Tokenfactory for juno-ts,"March 13, 2023",,Done,"https://github.com/CosmosContracts/typescript/pull/5
https://github.com/CosmosContracts/juno-ts/pull/6",
"v13 launch live, 6m 22s woo","March 13, 2023",Juno,Done,,
v13 blog #2 for Wolf / main medium,"March 12, 2023",Writing,Done,https://medium.com/@reecepbcups/juno-v13-outline-for-official-medium-7c611b229ed3,
"AddrConvert, ts-codegen, IBC transfer, go rly, onramps, Format Proposals, general cleanup, tf+feeshare subspaces","March 10, 2023",Docs,Done,,https://github.com/CosmosContracts/docs/compare/05ca2be486d21aa1216a158339652f0983ba3e8f...fe31bfd3afbacd3f09564e7771c920b870f64e5d  & https://github.com/CosmosContracts/docs/pull/78
Lots of Docs,"March 9, 2023",Docs,Recurring,https://github.com/CosmosContracts/docs/pull/78,"Lost of common questions / good to know information in relation to cosmos as a whole, but has 0 documentation on how to do it."
Starting CW20-migrate contgract,"March 8, 2023",CosmWasm,Done,https://github.com/CosmosContracts/tokenfactory-contracts/pull/3,
"v13 release (tag, proposal desc, scripts, & announcement)","March 6, 2023",Juno,Done,v13.0.0 WOO,
