Task name,Date,Tags,Repo/PR,Notes,Created time
"refactor!: new config options, if-not-installed & wait-for-endpoint tags","March 16, 2025","Docs, docs-ci",https://github.com/Reecepbcups/docs-ci/releases/tag/v0.2.0,,"March 16, 2025 12:22 PM"
new: docs-ci gh action,"March 15, 2025","Docs, docs-ci","https://github.com/Reecepbcups/docs-ci
https://github.com/Reecepbcups/docs-ci/pull/1
https://github.com/Reecepbcups/docs-ci/pull/2
https://github.com/Reecepbcups/docs-ci/pull/3","Really been cooking on this for a while, so excited!","March 15, 2025 4:56 PM"
"reviewing gabes 4 PRs (new commands), and 3-4 other design decisions ",,wavs,,,"March 14, 2025 11:29 AM"
james at pangea,"March 14, 2025","Meeting, wavs",,,"March 14, 2025 11:07 AM"
"feat: fix shutdown trap, add e2e bash precompile verification","March 14, 2025",Ondo,https://github.com/ondoprotocol/ondochain/pull/23,,"March 14, 2025 11:06 AM"
EVM support to Spawn,"March 13, 2025","Spawn, evm",https://github.com/rollchains/spawn/tree/reece/evm,,"March 13, 2025 5:01 PM"
feat(0.4): latest component registry [8a57668b],"March 13, 2025",wavs,https://github.com/Lay3rLabs/wavs-foundry-template/pull/90,"deploy service raw, hacky local config generator, allows both local & remote wasm components to be used & deployed with","March 13, 2025 12:49 PM"
set effectiveGasPrice for foundry support with txs,"March 12, 2025","Ondo, evm",https://github.com/strangelove-ventures/os/pull/1/commits/3733a391e22c9eec8179d6736edd597b1b8d550a,,"March 12, 2025 3:08 PM"
feat: custom precompiles,"March 12, 2025",Ondo,https://github.com/ondoprotocol/ondochain/pull/23,,"March 12, 2025 1:40 PM"
"catching up on many messages, reviews, and gh issues/pr tags","March 12, 2025",Review,,,"March 12, 2025 11:39 AM"
feat(0.4): multi-lanauge support wit,"March 12, 2025",wavs,https://github.com/Lay3rLabs/wavs-wasi/pull/6,,"March 12, 2025 11:00 AM"
review Nick’s Why Wavs blog,"March 12, 2025","Review, Writing, wavs",,,"March 12, 2025 10:26 AM"
back from sick,"March 12, 2025",,,,"March 12, 2025 10:26 AM"
working through control panel precompile (query & tx),"March 6, 2025",Ondo,,,"March 6, 2025 10:37 PM"
fix: setting authority in appv2 depinject to match v1,"March 6, 2025",PoA Module,https://github.com/strangelove-ventures/poa/pull/244,,"March 6, 2025 5:22 PM"
review: feat: integrate stocks and ETFs,"March 6, 2025","Ondo, Review",https://github.com/ondoprotocol/ondochain/pull/22,,"March 6, 2025 11:56 AM"
feat: python support,"March 5, 2025",wavs,https://github.com/Lay3rLabs/wavs-foundry-template/pull/83,,"March 5, 2025 6:59 PM"
release: bump to 0.3.0,"March 5, 2025",wavs,https://github.com/Lay3rLabs/WAVS/pull/407,,"March 5, 2025 11:11 AM"
refactor: unbundle make commands,,"Docs, wavs",https://github.com/Lay3rLabs/wavs-foundry-template/pull/82,,"March 4, 2025 7:30 PM"
refactor: docs copy from foundry template repo,"March 4, 2025","Docs, wavs",https://github.com/Lay3rLabs/WAVS-docs/pull/23,"merged in, working, and deployed","March 4, 2025 5:56 PM"
review: feat: skip's connect sidecar and oracle,"March 4, 2025","Ondo, Review",https://github.com/ondoprotocol/ondochain/pull/21,,"March 4, 2025 3:02 PM"
Cameron chat over Sanctions / allow/block,"March 4, 2025",Ondo,,,"March 4, 2025 2:00 PM"
internal: docs sync from 1 central place,"March 3, 2025","Docs, wavs","https://github.com/Lay3rLabs/wavs-foundry-template/pull/79
https://github.com/Reecepbcups/WAVS-docs/pull/1
https://github.com/Lay3rLabs/WAVS-docs/pull/23",,"March 3, 2025 7:30 PM"
hacking around on the JS viem support,"March 3, 2025",wavs,,,"March 3, 2025 7:30 PM"
getting golang support finalized,"March 3, 2025",wavs,https://github.com/Lay3rLabs/wavs-foundry-template/pull/70,"mostly final todos, documentation, and devex flows for future maintenance and expansion ","March 3, 2025 2:45 PM"
finish testing and todos for restrictions + block/allow list,"March 3, 2025",Ondo,,,"March 3, 2025 2:35 PM"
debugging with joel on connect VE errors; found & resolved,"March 3, 2025",Ondo,,,"March 3, 2025 1:33 PM"
feat: javascript support,"March 2, 2025",wavs,https://github.com/Lay3rLabs/wavs-foundry-template/pull/78,,"March 2, 2025 12:10 AM"
wavs-go bindings package,"March 1, 2025",wavs,https://github.com/Reecepbcups/wavs-go,likely move upstream into wavs itself later,"March 1, 2025 8:44 PM"
feat(->#70): go web request support,"March 1, 2025",wavs,https://github.com/Lay3rLabs/wavs-foundry-template/pull/77,i am so excited right now that we have WASI Golang web request support :D,"March 1, 2025 7:11 PM"
chore: migrate to go.bytecodealliance.org ,,wavs,https://github.com/dev-wasm/dev-wasm-go/pull/17,,"March 1, 2025 6:50 PM"
"finish migration for better keeper test, v0.50.12","March 1, 2025",Spawn,https://github.com/rollchains/spawn/pull/279,,"March 1, 2025 3:16 PM"
