Task name,Date,Tags,Repo/PR,Notes
distribute a token to ever address on a network,"March 31, 2024","Neutron, Scripts",https://github.com/Reecepbcups/neutron-token-distribution,someone should really make a webapp to do this
docs & UX for spawn from ollie meet,"March 30, 2024",Spawn,https://github.com/rollchains/spawn/pull/122,
review+backport: set validators to specific genesis coin amounts,"March 30, 2024",interchain-test,"review: https://github.com/strangelove-ventures/interchaintest/pull/1028
backport = fix: https://github.com/strangelove-ventures/interchaintest/pull/1039",
refactor ictest and make private methods public,"March 30, 2024",interchain-test,https://github.com/strangelove-ventures/interchaintest/pull/1038,
"Integrate ibc-rate-limit to Spawn ","March 27, 2024",Spawn,https://github.com/rollchains/spawn/pull/119,
Run through with Ollie at the ICF with spawn & local-ic,"March 27, 2024","Meeting, Spawn",https://github.com/rollchains/spawn/issues/118,
migrate ibc-rate-limit to SDK v50,"March 26, 2024","Spawn, Stride",https://github.com/Stride-Labs/ibc-rate-limiting/pull/6,
loop chain,"March 26, 2024",Loop,LoopFans/loop-chain,
ci: typos and link checks,"March 26, 2024","Noble, PoA Module, Relayer, cctp, horocux","https://github.com/strangelove-ventures/noble-cctp-relayer/pull/73
https://github.com/cosmos/relayer/pull/1431
https://github.com/strangelove-ventures/poa/pull/147
https://github.com/strangelove-ventures/heighliner/pull/234
https://github.com/strangelove-ventures/horcrux/pull/261",lots of little typos and broken links. All fixed!
fix(v50): client_golang incorrect version,"March 26, 2024",CosmosSDK,https://github.com/cosmos/cosmos-sdk/pull/19873,v1.18 broke in v0.50.5. Needed v0.19 + other fixes
feat: SDK v47 -> v50 upgrade automation,"March 21, 2024",Spawn,https://github.com/rollchains/spawn-chores-plugin/pull/3,so. much. regex. halp
WIP: IBC rate limit module SDK v50,"March 21, 2024",Spawn,https://github.com/Reecepbcups/ibc-rate-limiting/tree/reece/v50-upgrade,"will either write a tool to migrate 47→50, or use a fresh spawn simapp"
ICF Dev UX meet x Spawn,"March 21, 2024",Meeting,,
spawn link fixes + typos (for spawn & new apps),"March 21, 2024",Spawn,https://github.com/rollchains/spawn/pull/110,
ictest link fixes + typos,"March 21, 2024","interchain-test, local-interchain",https://github.com/strangelove-ventures/interchaintest/pull/1032,
relayer link fixes + typos,"March 21, 2024",Relayer,https://github.com/cosmos/relayer/pull/1431,
markdown linter and spell check,"March 20, 2024",IBC-Apps,https://github.com/cosmos/ibc-apps/pull/179,
ORM support,"March 20, 2024",Spawn,https://github.com/rollchains/spawn/pull/103,
spawn v0.50.1,"March 19, 2024",Spawn,https://github.com/rollchains/spawn/releases/tag/v0.50.1,
docker image release & public cloud testnets (hetzner),"March 18, 2024",Spawn,https://github.com/rollchains/spawn/pull/105,
security patches,"March 18, 2024",Spawn,https://github.com/rollchains/spawn/pull/106,
private self hosted testnet CI github,"March 18, 2024","Spawn, ethos",https://github.com/rollchains/spawn/pull/107,
local-ic: support remote JSON configs,"March 14, 2024",local-interchain,https://github.com/strangelove-ventures/interchaintest/pull/1022,
working on hetzner testnet cloud support,"March 14, 2024",Spawn,"private for now, will upstream to spawn later",
feat! wasmvm2 support for spawn,"March 12, 2024",Spawn,https://github.com/rollchains/spawn/pull/100,
migrate polytone to IBC-Apps,"March 11, 2024","IBC, IBC-Apps",https://github.com/cosmos/ibc-apps/pull/169,
